run_id,scenario_id,site,decision_type,variant,workflow,exp1_seed,world_model_file,world_model_sha256,operator_id,operator_assignment_ready,input_status,run_status,output_geometry,output_parameter_table,output_need_disposition,output_constraint_checklist,output_process_log,rhino_export_record,outcome_A_green,outcome_E_equity,outcome_C_comfort,outcome_P_ret,outcome_I_impl,failure_or_exclusion_code
EXP1-LON-AR-S-POLIS,LON-AR-S,London,AR,S,POLIS,120202,world_model/vector/lon_world_model.gpkg,a6a2403d23e56b3f3c3c558666e9ed34886c583bfb17504949536f76e1a8f5e1,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-LON-CU-B-EXISTING,LON-CU-B,London,CU,B,EXISTING,120301,world_model/vector/lon_world_model.gpkg,a6a2403d23e56b3f3c3c558666e9ed34886c583bfb17504949536f76e1a8f5e1,NOT_APPLICABLE,yes,FROZEN_WORLD_MODEL,READY_EXISTING_EVALUATION,,,,,,,,,,,,
EXP1-LON-CU-B-CONVENTIONAL,LON-CU-B,London,CU,B,CONVENTIONAL,120301,world_model/vector/lon_world_model.gpkg,a6a2403d23e56b3f3c3c558666e9ed34886c583bfb17504949536f76e1a8f5e1,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-LON-CU-B-DIGITAL,LON-CU-B,London,CU,B,DIGITAL,120301,world_model/vector/lon_world_model.gpkg,a6a2403d23e56b3f3c3c558666e9ed34886c583bfb17504949536f76e1a8f5e1,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-LON-CU-B-POLIS,LON-CU-B,London,CU,B,POLIS,120301,world_model/vector/lon_world_model.gpkg,a6a2403d23e56b3f3c3c558666e9ed34886c583bfb17504949536f76e1a8f5e1,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-LON-CU-S-EXISTING,LON-CU-S,London,CU,S,EXISTING,120302,world_model/vector/lon_world_model.gpkg,a6a2403d23e56b3f3c3c558666e9ed34886c583bfb17504949536f76e1a8f5e1,NOT_APPLICABLE,yes,FROZEN_WORLD_MODEL,READY_EXISTING_EVALUATION,,,,,,,,,,,,
EXP1-LON-CU-S-CONVENTIONAL,LON-CU-S,London,CU,S,CONVENTIONAL,120302,world_model/vector/lon_world_model.gpkg,a6a2403d23e56b3f3c3c558666e9ed34886c583bfb17504949536f76e1a8f5e1,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-LON-CU-S-DIGITAL,LON-CU-S,London,CU,S,DIGITAL,120302,world_model/vector/lon_world_model.gpkg,a6a2403d23e56b3f3c3c558666e9ed34886c583bfb17504949536f76e1a8f5e1,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-LON-CU-S-POLIS,LON-CU-S,London,CU,S,POLIS,120302,world_model/vector/lon_world_model.gpkg,a6a2403d23e56b3f3c3c558666e9ed34886c583bfb17504949536f76e1a8f5e1,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-LON-RR-B-EXISTING,LON-RR-B,London,RR,B,EXISTING,120401,world_model/vector/lon_world_model.gpkg,a6a2403d23e56b3f3c3c558666e9ed34886c583bfb17504949536f76e1a8f5e1,NOT_APPLICABLE,yes,FROZEN_WORLD_MODEL,READY_EXISTING_EVALUATION,,,,,,,,,,,,
EXP1-LON-RR-B-CONVENTIONAL,LON-RR-B,London,RR,B,CONVENTIONAL,120401,world_model/vector/lon_world_model.gpkg,a6a2403d23e56b3f3c3c558666e9ed34886c583bfb17504949536f76e1a8f5e1,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-LON-RR-B-DIGITAL,LON-RR-B,London,RR,B,DIGITAL,120401,world_model/vector/lon_world_model.gpkg,a6a2403d23e56b3f3c3c558666e9ed34886c583bfb17504949536f76e1a8f5e1,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-LON-RR-B-POLIS,LON-RR-B,London,RR,B,POLIS,120401,world_model/vector/lon_world_model.gpkg,a6a2403d23e56b3f3c3c558666e9ed34886c583bfb17504949536f76e1a8f5e1,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
